countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
PNG,655.1569999999999,647.91,640.663,628.653,616.6419999999999,604.631,592.621,580.61,570.38,560.149,549.918,539.688,529.457,521.2909999999999,513.125,504.959,496.793,488.62699999999995,481.792,474.957,468.121,461.286,454.45099999999996,452.61400000000003,450.778,448.941,447.105,445.26800000000003,440.218,435.16900000000004,430.119,425.07,420.02,414.125,408.22900000000004,402.334,396.43800000000005,390.543,384.724,378.905,373.086,367.267,361.44800000000004,355.37199999999996,349.296,343.221,337.145,331.07,328.62199999999996,326.17400000000004,323.72700000000003,321.279,318.832,316.025
PRK,452.276,448.358,444.439,429.336,414.233,399.13,384.027,368.923,355.56800000000004,342.212,328.85699999999997,315.501,302.145,292.086,282.027,271.968,261.909,251.851,245.69099999999997,239.53099999999998,233.37099999999998,227.21099999999998,221.051,216.56599999999997,212.081,207.597,203.112,198.627,189.485,180.343,171.2,162.058,152.916,174.688,196.46,218.231,240.003,261.775,251.666,241.55700000000002,231.44799999999998,221.33900000000003,211.23,209.36700000000002,207.505,205.642,203.77900000000002,201.917,198.112,194.308,190.503,186.699,182.894,179.36700000000002
PYF,388.60400000000004,382.36800000000005,376.13199999999995,370.194,364.256,358.31800000000004,352.379,346.441,341.13599999999997,335.83099999999996,330.526,325.221,319.916,316.394,312.871,309.349,305.827,302.305,297.247,292.19,287.133,282.075,277.018,274.91700000000003,272.817,270.717,268.616,266.51599999999996,258.938,251.359,243.78099999999998,236.203,228.625,225.793,222.96099999999998,220.13,217.298,214.46599999999998,208.525,202.584,196.642,190.701,184.76,177.28099999999998,169.803,162.32399999999998,154.846,147.36700000000002,144.974,142.582,140.189,137.797,135.404,132.817
SGP,269.7052,265.6886,261.672,258.2748,254.8776,251.4804,248.0832,244.68599999999998,240.3454,236.0048,231.6642,227.3236,222.983,217.755,212.52700000000002,207.299,202.071,196.843,191.732,186.62099999999998,181.51,176.399,171.28799999999998,166.9066,162.5252,158.1438,153.7624,149.381,143.5678,137.7546,131.9414,126.1282,120.315,117.1114,113.9078,110.7042,107.5006,104.29700000000001,102.2166,100.1362,98.0558,95.9754,93.895,91.4266,88.9582,86.4898,84.0214,81.553,80.0124,78.4718,76.9312,75.3906,73.85,72.507
SLB,398.98900000000003,393.468,387.94599999999997,382.351,376.755,371.16,365.564,359.969,354.31199999999995,348.655,342.99699999999996,337.34,331.68300000000005,325.991,320.3,314.608,308.916,303.225,301.409,299.594,297.778,295.96299999999997,294.147,300.22700000000003,306.308,312.388,318.469,324.54900000000004,319.059,313.569,308.078,302.58799999999997,297.098,291.553,286.009,280.464,274.92,269.375,263.735,258.095,252.454,246.81400000000002,241.174,236.014,230.854,225.695,220.535,215.375,212.858,210.34099999999998,207.824,205.30700000000002,202.78900000000002,200.37
THA,338.283,335.353,332.423,330.436,328.45,326.464,324.47700000000003,322.491,319.982,317.473,314.964,312.45599999999996,309.947,306.519,303.09,299.66200000000003,296.233,292.805,289.719,286.633,283.547,280.461,277.375,264.769,252.16299999999998,239.55599999999998,226.95,214.34400000000002,218.77,223.196,227.622,232.048,236.47400000000002,242.231,247.989,253.747,259.504,265.262,262.744,260.226,257.707,255.18900000000002,252.671,246.583,240.49400000000003,234.40599999999998,228.31799999999998,222.23,219.99099999999999,217.752,215.513,213.274,211.03400000000002,208.894
TMP,583.85,577.61,571.37,565.1886,559.0072,552.8258,546.6444,540.4630000000001,534.7156,528.9682,523.2208,517.4734,511.726,534.8124,557.8988,580.9852,604.0716,627.158,604.17,581.182,558.194,535.206,512.2180000000001,498.1464,484.0748,470.0032,455.9316,441.86,433.07099999999997,424.282,415.49300000000005,406.704,397.915,382.175,366.435,350.695,334.955,319.215,310.0794,300.9438,291.8082,282.6726,273.53700000000003,266.7302,259.9234,253.1166,246.3098,239.503,233.1348,226.7666,220.3984,214.0302,207.662,202.5904
TON,303.882,298.41,292.938,288.13,283.323,278.515,273.707,268.9,264.131,259.363,254.59400000000002,249.826,245.058,241.912,238.766,235.62,232.47400000000002,229.329,226.218,223.107,219.99599999999998,216.885,213.774,210.986,208.19799999999998,205.41,202.623,199.835,197.979,196.12400000000002,194.269,192.41400000000002,190.558,189.32299999999998,188.088,186.85299999999998,185.618,184.38299999999998,184.312,184.24099999999999,184.17,184.09799999999998,184.02700000000002,183.328,182.62900000000002,181.93,181.231,180.53099999999998,178.555,176.578,174.601,172.62400000000002,170.648,168.605
VNM,290.194,283.509,276.824,276.837,276.85,276.863,276.876,276.889,301.4358,325.9826,350.5294,375.0762,399.62300000000005,369.642,339.661,309.68,279.699,249.718,245.9818,242.2456,238.5094,234.7732,231.037,228.2106,225.3842,222.5578,219.7314,216.905,214.9798,213.0546,211.1294,209.2042,207.27900000000002,206.2926,205.3062,204.3198,203.3334,202.347,201.7208,201.0946,200.4684,199.8422,199.21599999999998,199.1094,199.0028,198.8962,198.7896,198.683,196.7622,194.8414,192.9206,190.9998,189.079,186.90900000000002
VUT,438.398,431.48400000000004,424.57,418.022,411.473,404.92400000000004,398.376,391.827,385.41,378.994,372.577,366.161,359.744,353.226,346.708,340.19,333.671,327.153,320.529,313.905,307.281,300.657,294.033,288.515,282.996,277.47700000000003,271.95799999999997,266.44,261.298,256.155,251.013,245.87099999999998,240.729,236.077,231.425,226.774,222.122,217.47,213.27599999999998,209.082,204.887,200.69299999999998,196.49900000000002,192.885,189.271,185.657,182.043,178.429,174.937,171.44400000000002,167.951,164.459,160.966,158.273
WSM,526.225,518.789,511.35400000000004,503.745,496.13599999999997,488.527,480.917,473.30800000000005,465.543,457.777,450.01199999999994,442.246,434.48,426.584,418.68800000000005,410.792,402.895,394.999,387.005,379.01099999999997,371.017,363.023,355.029,346.98400000000004,338.94,330.895,322.85,314.806,306.452,298.099,289.745,281.392,273.038,265.736,258.434,251.132,243.83,236.52900000000002,231.088,225.64700000000002,220.206,214.766,209.325,204.845,200.365,195.885,191.405,186.925,182.71400000000003,178.503,174.292,170.081,165.87,162.22799999999998
