countries,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ABW,214.0602,209.8846,205.709,202.6206,199.5322,196.4438,193.3554,190.267,187.65599999999998,185.045,182.43400000000003,179.82299999999998,177.21200000000002,176.8328,176.4536,176.0744,175.6952,175.31599999999997,175.5194,175.7228,175.9262,176.1296,176.333,179.7882,183.2434,186.6986,190.1538,193.609,199.4118,205.2146,211.0174,216.8202,222.623,225.4318,228.2406,231.0494,233.8582,236.667,235.8602,235.0534,234.2466,233.4398,232.63299999999998,227.12,221.607,216.09400000000002,210.581,205.06799999999998,202.2384,199.4088,196.5792,193.7496,190.92,189.2204
SLV,283.0580166666666,278.3022444444444,273.5463888888888,270.3616833333333,267.17714444444454,263.99252222222225,260.80784444444447,257.6231666666667,255.00628888888883,252.3894388888889,249.77267222222224,247.15579444444444,244.53894444444438,242.80429999999998,241.06965555555553,239.33492777777778,237.60033888888887,235.86555555555555,234.12908888888887,232.39259444444446,230.65615555555556,228.9196611111111,227.1831111111111,225.4022222222222,223.62130555555555,221.84044444444447,220.05963888888888,218.27861111111113,216.96374999999998,215.64894444444445,226.567960142533,213.0191111111111,211.70433333333338,210.2835722222222,208.86281111111109,207.44210555555551,206.02131666666668,204.6006111111111,202.56811111111116,200.53577777777775,243.0,196.47094444444443,194.4386388888889,191.82090555555556,189.20320000000004,186.58541111111109,183.9678722222222,181.3501111111111,179.18232777777774,177.01446111111113,174.84684444444446,172.67903333333334,170.51122222222227,168.64167777777777
JAM,318.615,317.493,316.371,315.76099999999997,315.151,314.541,313.931,313.322,306.871,300.42,293.97,287.519,281.068,275.314,269.56,263.806,258.053,252.299,246.56799999999998,240.838,235.108,229.378,223.64700000000002,220.72799999999998,217.80900000000003,214.89,211.97,209.051,205.949,202.84599999999998,199.74400000000003,196.641,193.53799999999998,197.088,200.638,204.187,207.737,211.287,208.43200000000002,205.578,202.72400000000002,199.86900000000003,197.015,193.65,190.285,186.92,183.55599999999998,180.19099999999997,178.32299999999998,176.455,174.58700000000002,172.71900000000002,170.852,169.377
PRY,315.45799999999997,309.901,304.344,302.14,299.935,297.73,295.526,293.32099999999997,291.666,290.01099999999997,288.356,286.70099999999996,285.046,283.94599999999997,282.847,281.747,280.647,279.547,275.869,272.191,268.513,264.835,261.157,254.954,248.75099999999998,242.548,236.34599999999998,230.143,224.15900000000002,218.175,212.19099999999997,206.207,200.22299999999998,194.468,188.713,182.957,177.202,171.447,169.66299999999998,167.87900000000002,166.09400000000002,164.31,162.526,161.05,159.57399999999998,158.09799999999998,156.622,155.145,153.605,152.064,150.524,148.983,147.44299999999998,145.387
BRA,420.01599999999996,411.07300000000004,402.129,393.401,384.67199999999997,375.944,367.216,358.48699999999997,350.00800000000004,341.529,333.05,324.57099999999997,316.092,311.954,307.816,303.677,299.539,295.401,296.01099999999997,296.621,297.231,297.841,298.452,295.645,292.83799999999997,290.031,287.225,284.418,279.29400000000004,274.16900000000004,269.045,263.92,258.796,257.165,255.535,253.90400000000002,252.274,250.644,248.518,246.393,244.267,242.141,240.016,235.32299999999998,230.63,225.937,221.245,216.55200000000002,213.28,210.00799999999998,206.737,203.465,200.19299999999998,197.115
CHL,250.734,244.919,239.10299999999998,234.96099999999998,230.81799999999998,226.675,222.533,218.39,215.19299999999998,211.997,208.8,205.604,202.407,199.418,196.429,193.44,190.451,187.46200000000002,185.854,184.247,182.639,181.032,179.424,178.403,177.38099999999997,176.36,175.33900000000003,174.317,172.97299999999998,171.62900000000002,170.28400000000002,168.94,167.595,166.102,164.609,163.116,161.622,160.129,160.148,160.167,160.185,160.204,160.22299999999998,160.839,161.455,162.071,162.687,163.303,161.93,160.558,159.185,157.812,156.439,154.486
VCT,352.838,347.36699999999996,341.897,337.371,332.846,328.32099999999997,323.796,319.27,311.703,304.135,296.568,289.0,281.433,276.061,270.69,265.318,259.947,254.575,251.325,248.074,244.824,241.57299999999998,238.32299999999998,235.21900000000002,232.11599999999999,229.013,225.91,222.80599999999998,220.003,217.199,214.396,211.592,208.78900000000002,205.75599999999997,202.72299999999998,199.68900000000002,196.65599999999998,193.623,191.18099999999998,188.739,186.297,183.855,181.41400000000002,178.959,176.50400000000002,174.049,171.59400000000002,169.139,167.046,164.953,162.861,160.768,158.675,156.555
BHS,239.9664,240.3082,240.65,239.7766,238.9032,238.0298,237.1564,236.283,235.4322,234.5814,233.7306,232.8798,232.02900000000002,228.83900000000003,225.649,222.459,219.269,216.079,215.3968,214.7146,214.0324,213.3502,212.668,213.015,213.362,213.709,214.05599999999998,214.403,219.6472,224.8914,230.1356,235.3798,240.62400000000002,237.2442,233.8644,230.4846,227.1048,223.725,216.2812,208.8374,201.3936,193.9498,186.50599999999997,183.2788,180.0516,176.8244,173.5972,170.37,167.8798,165.3896,162.8994,160.4092,157.91899999999998,155.0088
VEN,217.64,216.03099999999998,214.421,213.44,212.459,211.477,210.49599999999998,209.514,208.75099999999998,207.987,207.22400000000002,206.46,205.697,205.47799999999998,205.25900000000001,205.04,204.822,204.60299999999998,204.418,204.233,204.048,203.862,203.67700000000002,203.518,203.359,203.2,203.041,202.88099999999997,202.62099999999998,202.361,202.101,201.84,201.58,201.331,201.082,200.833,200.584,200.335,197.84099999999998,195.347,192.85299999999998,190.359,187.865,185.851,183.838,181.824,179.81,177.797,175.785,173.773,171.761,169.74900000000002,167.737,167.11
ARG,365.725,352.496,339.26599999999996,336.565,333.86300000000006,331.161,328.46,325.758,326.048,326.33799999999997,326.628,326.918,327.20799999999997,337.291,347.375,357.458,367.541,377.624,386.111,394.597,403.084,411.57,420.05699999999996,410.228,400.398,390.569,380.74,370.911,360.756,350.601,340.44599999999997,330.292,320.137,318.406,316.675,314.944,313.21299999999997,311.481,309.48400000000004,307.486,305.48900000000003,303.491,301.494,298.82,296.14599999999996,293.472,290.798,288.124,284.948,281.772,278.597,275.421,272.245,268.39599999999996
CRI,307.61,304.823,302.035,297.825,293.616,289.406,285.19599999999997,280.986,278.003,275.02,272.03700000000003,269.05400000000003,266.07099999999997,263.494,260.916,258.339,255.762,253.18400000000003,252.977,252.769,252.56099999999998,252.354,252.146,252.157,252.167,252.17700000000002,252.188,252.19799999999998,252.40400000000002,252.611,252.817,253.023,253.229,255.166,257.10400000000004,259.04200000000003,260.97900000000004,262.91700000000003,264.249,265.58099999999996,266.913,268.246,269.578,263.69,257.802,251.91400000000002,246.02700000000002,240.139,237.09900000000002,234.05900000000003,231.019,227.979,224.93900000000002,223.56799999999998
SUR,281.171,274.464,267.757,266.557,265.358,264.159,262.959,261.76,262.245,262.731,263.216,263.70099999999996,264.186,261.784,259.382,256.98,254.578,252.175,252.456,252.738,253.019,253.3,253.581,252.28400000000002,250.986,249.68900000000002,248.392,247.095,245.875,244.655,243.435,242.21599999999998,240.99599999999998,242.747,244.498,246.24900000000002,248.0,249.75099999999998,248.268,246.78400000000002,245.301,243.81799999999998,242.335,240.55200000000002,238.769,236.987,235.204,233.421,230.523,227.62400000000002,224.726,221.828,218.929,217.93200000000002
BRB,226.933,223.502,220.071,219.737,219.40400000000002,219.07,218.736,218.403,218.058,217.713,217.36900000000003,217.024,216.679,215.61599999999999,214.55200000000002,213.489,212.426,211.362,209.483,207.604,205.725,203.84599999999998,201.967,201.815,201.66400000000002,201.513,201.361,201.21,199.601,197.993,196.38400000000001,194.775,193.167,190.035,186.903,183.771,180.639,177.507,173.765,170.023,166.28099999999998,162.539,158.797,156.607,154.417,152.226,150.036,147.846,146.218,144.59,142.963,141.335,139.707,138.091
GTM,229.145,217.747,206.34900000000002,206.305,206.262,206.218,206.174,206.13099999999997,206.649,207.168,207.687,208.205,208.72400000000002,209.78900000000002,210.854,211.92,212.985,214.05,211.77599999999998,209.50099999999998,207.226,204.951,202.676,202.923,203.169,203.416,203.662,203.90900000000002,203.771,203.63299999999998,203.49400000000003,203.356,203.218,204.713,206.208,207.704,209.199,210.69400000000002,210.921,211.148,211.375,211.602,211.829,208.27200000000002,204.715,201.15900000000002,197.602,194.045,192.092,190.139,188.185,186.232,184.27900000000002,183.331
PAN,304.487,298.528,292.569,288.324,284.078,279.83299999999997,275.58799999999997,271.343,267.736,264.129,260.522,256.915,253.308,250.828,248.34799999999998,245.868,243.388,240.908,238.622,236.33599999999998,234.051,231.765,229.48,227.238,224.997,222.75599999999997,220.515,218.273,217.804,217.334,216.865,216.395,215.926,216.641,217.355,218.07,218.785,219.5,218.832,218.16299999999998,217.49400000000003,216.826,216.157,214.22400000000002,212.291,210.357,208.424,206.49099999999999,205.065,203.64,202.21400000000003,200.78799999999998,199.363,197.11700000000002
URY,295.534,290.935,286.336,280.4554,274.5748,268.6942,262.8136,256.933,251.6282,246.3234,241.0186,235.7138,230.40900000000002,225.018,219.627,214.236,208.845,203.454,199.347,195.24,191.13299999999998,187.02599999999998,182.919,178.7058,174.4926,170.2794,166.0662,161.85299999999998,157.869,153.885,149.901,145.917,141.933,137.6746,133.4162,129.1578,124.8994,120.641,116.9516,113.2622,109.5728,105.8834,102.194,100.4198,98.6456,96.8714,95.0972,93.323,90.7836,88.2442,85.7048,83.1654,80.626,78.7702
